gene_id,NC1_count,NC2_count,NC3_count,NC4_count,PD1_count,PD2_count,PD3_count,PD4_count
ENSG00000000003,576,28,64,337,266,148,153,166
ENSG00000000005,5,6,35,0,0,1,6,0
ENSG00000000419,118,0,0,75,93,124,84,59
ENSG00000000457,220,235,138,196,110,116,69,86
ENSG00000000460,51,73,84,64,55,43,69,74
ENSG00000000938,37,28,49,40,29,82,153,69
ENSG00000000971,251,112,54,495,2039,747,996,1071
ENSG00000001036,266,101,54,205,301,257,280,96
ENSG00000001084,149,224,242,158,238,280,271,211
ENSG00000001167,325,140,232,241,146,287,123,213
ENSG00000001460,108,174,415,51,44,59,86,61
ENSG00000001461,861,196,395,476,305,268,232,564
ENSG00000001497,140,112,365,210,123,166,107,218
ENSG00000001561,473,45,59,208,218,242,117,163
ENSG00000001617,330,95,188,265,435,589,633,323
ENSG00000001626,2,90,114,25,2,7,17,2
ENSG00000001629,547,101,69,401,534,492,388,485
ENSG00000001630,543,5,64,418,181,333,317,132
ENSG00000001631,369,78,84,428,339,307,245,618
ENSG00000002016,142,90,35,196,58,117,79,224
ENSG00000002330,161,22,20,67,171,149,186,157
ENSG00000002549,478,45,89,294,735,643,1057,290
ENSG00000002586,0,0,0,4,2,0,0,1
ENSG00000002587,102,510,716,90,59,67,112,61
ENSG00000002726,1311,230,227,178,720,2441,114,376
ENSG00000002745,7,179,59,10,1,7,37,2
ENSG00000002746,18,639,523,59,27,40,60,81
ENSG00000002822,164,73,104,200,135,129,183,256
ENSG00000002834,668,207,316,444,566,700,702,816
ENSG00000002919,130,62,119,92,76,58,106,86
ENSG00000002933,284,275,622,395,1187,1203,331,928
ENSG00000003056,705,179,257,321,964,378,844,617
ENSG00000003096,411,101,64,201,136,115,32,57
ENSG00000003137,158,224,405,78,16,17,49,26
ENSG00000003147,232,90,69,138,43,82,52,49
ENSG00000003249,50,291,158,44,8,24,32,90
ENSG00000003393,351,140,74,318,188,269,241,389
ENSG00000003400,290,134,212,183,400,289,553,169
ENSG00000003402,1987,354,641,1659,1195,1195,1568,2584
ENSG00000003436,1132,258,207,669,3515,1432,1178,1077
ENSG00000003509,100,34,43,92,80,52,72,130
ENSG00000003756,1258,179,101,1045,738,654,614,933
ENSG00000003987,18,62,138,28,81,4,32,93
ENSG00000003989,228,146,207,532,2134,643,397,214
ENSG00000004059,275,56,44,226,308,261,283,213
ENSG00000004139,230,431,731,359,158,117,218,445
ENSG00000004142,457,62,99,351,248,249,327,281
ENSG00000004399,890,218,420,744,1270,2790,2501,800
ENSG00000004455,593,303,202,437,667,503,788,743
ENSG00000004468,159,280,291,58,277,23,240,82
ENSG00000004478,616,140,133,490,218,406,560,197
ENSG00000004487,507,347,306,388,293,403,271,236
ENSG00000004534,896,106,168,1123,561,743,678,978
ENSG00000004660,69,353,390,111,46,130,115,114
ENSG00000004700,266,134,40,206,413,350,273,284
ENSG00000004766,272,50,79,205,201,232,195,200
